"","fold","tree_count","oob","rmspe"
"1",1,2000,2.23200624671991,2.16054627984049
"2",2,784,2.14050788230018,2.11784352670581
"3",3,883,2.14552151945681,2.1637053221578
"4",4,1483,2.12573170669257,2.15670322422061
"5",5,705,2.15771413861717,2.08316078277864
"6",6,1802,2.12529321354117,2.27433559814183
"7",7,1102,2.15131927293738,2.10242146559902
"8",8,807,2.15165751206367,1.97672360976821
"9",9,1707,2.15214507750432,1.98504538675299
"10",10,633,2.16441196565451,2.16949888964665
"11",11,1999,2.26138168695625,2.07235235244798
"12",12,909,2.13295737602851,2.18886238073704
"13",13,1330,2.13590574298611,2.29083530226474
"14",14,812,2.14726790604667,1.97475113609936
"15",15,1014,2.15359127235823,2.02442701909316
"16",16,1997,2.13039054265665,2.33794815339459
"17",17,1180,2.1458818356289,1.9262512706989
"18",18,786,2.14708204488159,2.06096812150955
"19",19,513,2.11265801683528,2.3422138042927
"20",20,988,2.11376161785922,2.42455473877402
